DATA_BASE;TIPO_DESENROLA;UNIDADE_FEDERACAO;COD_CONGLOMERADO_FINANCEIRO;NOME_CONGLOMERADO_FINANCEIRO;NUMERO_OPERACOES;VOLUME_OPERACOES
202310;1;AL;51626;CAIXA ECONÔMICA FEDERAL;187;106527,00
202310;1;AL;51884;INTER;735;545084,13
202310;1;AL;10069;ITAU;156;108772,50
202310;1;AL;52058;NUBANK;966;605016,88
202310;1;AL;30379;SANTANDER;110;78461,19
202310;1;AL;51011;VOTORANTIM;11;11360,30
202310;1;AM;51750;BANCO SICOOB;1;410,28
202310;1;AM;49906;BB;75;38216,78
202310;1;AM;30290;BMG;195;198332,56
202310;1;AM;10045;BRADESCO;417;301391,96
202310;1;AM;49944;BTG PACTUAL;435;341490,47
202310;1;AM;52072;C6 BANK;48;38976,37
202310;1;AM;51626;CAIXA ECONÔMICA FEDERAL;215;161028,29
202310;1;AM;2015588;CCLA DO CENTRO SUL RONDONIENSE;1;1229,59
202310;1;AM;51884;INTER;943;761277,80
202310;1;AM;10069;ITAU;277;210187,72
202310;1;AM;52058;NUBANK;1662;1133334,75
202310;1;AM;30379;SANTANDER;255;173403,63
202310;1;AM;5203605;SICOOB AMAZÔNIA;1;242,13
202310;1;AM;51011;VOTORANTIM;12;6225,29
202310;1;AP;49906;BB;40;20192,93
202310;1;AP;30290;BMG;31;27033,28
202310;1;AP;10045;BRADESCO;26;19867,23
202310;1;AP;49944;BTG PACTUAL;60;48818,75
202310;1;AP;52072;C6 BANK;15;7823,60
202310;1;AP;51626;CAIXA ECONÔMICA FEDERAL;23;12487,90
202310;1;AP;51884;INTER;121;84460,81
202310;1;AP;10069;ITAU;30;18269,23
202310;1;AP;52058;NUBANK;254;141421,31
202310;1;AP;30379;SANTANDER;27;12747,58
202310;1;AP;51011;VOTORANTIM;1;1058,74
202310;1;BA;51750;BANCO SICOOB;5;2924,84
202310;1;BA;49906;BB;522;293796,75
202310;1;BA;30290;BMG;699;563689,60
202310;1;BA;10045;BRADESCO;941;614026,92
202310;1;BA;49944;BTG PACTUAL;1426;1090235,26
202310;1;BA;52072;C6 BANK;203;119606,00
202310;1;BA;51626;CAIXA ECONÔMICA FEDERAL;664;451902,25
202310;1;BA;4174720;CC SICOOB COOPEMAR;2;465,87
202310;1;BA;4321309;CC SICOOB CRED EXECUTIVO;1;496,42
202310;1;BA;2282165;CC SICOOB CREDICONQUISTA;1;973,13
202310;1;BA;2876918;CC SICOOB NORTE SUL;2;1241,14
202310;1;BA;51884;INTER;2884;2103936,21
202310;1;BA;10069;ITAU;728;550865,27
202310;1;BA;52058;NUBANK;4285;2660712,23
202310;1;BA;30379;SANTANDER;691;489365,11
202310;1;BA;73398646;SOC CC SICOOB COOPERE;4;3408,89
202310;1;BA;51011;VOTORANTIM;49;44426,28
202310;1;CE;51750;BANCO SICOOB;1;346,99
202310;1;CE;49906;BB;441;273208,37
202310;1;CE;30290;BMG;652;557002,33
202310;1;CE;10045;BRADESCO;942;673387,48
202310;1;CE;49944;BTG PACTUAL;1272;1014181,68
202310;1;CE;52072;C6 BANK;157;94982,17
202310;1;CE;51626;CAIXA ECONÔMICA FEDERAL;648;442266,38
202310;1;CE;51884;INTER;2896;2172772,68
202310;1;CE;10069;ITAU;554;422141,11
202310;1;CE;52058;NUBANK;4350;2864293,74
202310;1;CE;30379;SANTANDER;655;494938,06
202310;1;CE;51011;VOTORANTIM;50;42538,11
202310;1;DF;51750;BANCO SICOOB;8;3853,67
202310;1;DF;49906;BB;178;100589,47
202310;1;DF;30290;BMG;283;233126,84
202310;1;DF;10045;BRADESCO;152;101866,50
202310;1;DF;49944;BTG PACTUAL;486;369342,87
202310;1;DF;52072;C6 BANK;93;60232,59
202310;1;DF;51626;CAIXA ECONÔMICA FEDERAL;181;119226,40
202310;1;DF;694877;COOP SICOOB EXECUTIVO LTDA.;1;193,48
202310;1;DF;51884;INTER;1229;916712,09
202310;1;DF;10069;ITAU;261;200511,05
202310;1;DF;52058;NUBANK;1698;1096404,81
202310;1;DF;30379;SANTANDER;253;183782,30
202310;1;DF;51011;VOTORANTIM;8;8369,14
202310;1;ES;51750;BANCO SICOOB;25;24421,71
202310;1;ES;49906;BB;91;59510,26
202310;1;ES;30290;BMG;206;177883,29
202310;1;ES;10045;BRADESCO;133;92062,57
202310;1;ES;49944;BTG PACTUAL;358;279489,86
202310;1;ES;52072;C6 BANK;38;21979,84
202310;1;ES;51626;CAIXA ECONÔMICA FEDERAL;212;135907,08
202310;1;ES;51884;INTER;909;656090,62
202310;1;ES;10069;ITAU;220;158037,79
202310;1;ES;52058;NUBANK;1201;752313,06
202310;1;ES;30379;SANTANDER;237;186503,54
202310;1;ES;51011;VOTORANTIM;11;9591,39
202310;1;GO;51750;BANCO SICOOB;10;8290,70
202310;1;GO;49906;BB;146;82611,63
202310;1;GO;30290;BMG;339;279217,78
202310;1;GO;10045;BRADESCO;248;160870,67
202310;1;GO;49944;BTG PACTUAL;720;579711,98
202310;1;GO;52072;C6 BANK;95;64800,73
202310;1;GO;51626;CAIXA ECONÔMICA FEDERAL;317;182327,68
202310;1;GO;33579731;CCLA CENTRO-SUL GOIANO;2;1542,89
202310;1;GO;2282709;COOP CENTRO NORTE BRASILEIRO;1;610,26
202310;1;GO;51884;INTER;1406;1072190,57
202310;1;GO;10069;ITAU;437;307758,71
202310;1;GO;52058;NUBANK;2091;1286586,50
202310;1;GO;30379;SANTANDER;287;187223,61
202310;1;GO;51011;VOTORANTIM;17;14446,79
202310;1;MA;51750;BANCO SICOOB;2;967,11
202310;1;MA;49906;BB;278;138553,18
202310;1;MA;30290;BMG;216;177471,79
202310;1;MA;10045;BRADESCO;247;154734,49
202310;1;MA;49944;BTG PACTUAL;356;258830,62
202310;1;MA;52072;C6 BANK;54;33289,04
202310;1;MA;51626;CAIXA ECONÔMICA FEDERAL;214;145041,88
202310;1;MA;51884;INTER;870;614724,05
202310;1;MA;10069;ITAU;155;101324,26
202310;1;MA;52058;NUBANK;1616;965161,36
202310;1;MA;30379;SANTANDER;180;124990,41
202310;1;MA;51011;VOTORANTIM;10;8702,13
202310;1;MG;51750;BANCO SICOOB;55;48582,41
202310;1;MG;49906;BB;474;267067,77
202310;1;MG;30290;BMG;1509;1260440,95
202310;1;MG;10045;BRADESCO;858;591549,01
202310;1;MG;49944;BTG PACTUAL;1766;1403373,32
202310;1;MG;52072;C6 BANK;289;208013,03
202310;1;MG;51626;CAIXA ECONÔMICA FEDERAL;1049;681524,22
202310;1;MG;66398496;CC CREDIARA LTDA.;1;655,76
202310;1;MG;14046512;CCLA MARGEM ESQUERDA DO URUCUI;1;235,04
202310;1;MG;1736516;CCLA REG. CTR. E OESTE MINEIRO;3;3120,36
202310;1;MG;1703620;CCLA UNIÃO CENTRO OESTE MINAS;2;3108,08
202310;1;MG;51884;INTER;5984;4407388,70
202310;1;MG;10069;ITAU;1399;986735,93
202310;1;MG;52058;NUBANK;5406;3571139,45
202310;1;MG;30379;SANTANDER;963;659068,45
202310;1;MG;51011;VOTORANTIM;55;38897,94
202310;1;MS;51750;BANCO SICOOB;10;6140,77
202310;1;MS;49906;BB;160;100053,13
202310;1;MS;30290;BMG;255;222528,96
202310;1;MS;10045;BRADESCO;349;261701,52
202310;1;MS;49944;BTG PACTUAL;498;414412,57
202310;1;MS;52072;C6 BANK;74;53386,06
202310;1;MS;51626;CAIXA ECONÔMICA FEDERAL;279;202190,10
202310;1;MS;51884;INTER;853;646431,95
202310;1;MS;10069;ITAU;170;121829,23
202310;1;MS;52058;NUBANK;1652;1135079,68
202310;1;MS;30379;SANTANDER;250;182907,20
202310;1;MS;51011;VOTORANTIM;21;18831,57
202310;1;MT;51750;BANCO SICOOB;8;10952,23
202310;1;MT;49906;BB;140;95409,29
202310;1;MT;30290;BMG;181;144150,55
202310;1;MT;10045;BRADESCO;171;142507,54
202310;1;MT;49944;BTG PACTUAL;370;326472,46
202310;1;MT;52072;C6 BANK;61;47567,64
202310;1;MT;51626;CAIXA ECONÔMICA FEDERAL;111;96602,52
202310;1;MT;2015588;CCLA DO CENTRO SUL RONDONIENSE;2;3146,23
202310;1;MT;23623636;CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT;2;2962,93
202310;1;MT;51884;INTER;637;536726,81
202310;1;MT;10069;ITAU;141;109349,09
202310;1;MT;52058;NUBANK;1120;814658,71
202310;1;MT;30379;SANTANDER;127;97888,97
202310;1;MT;3632872;SICOOB CREDISUL;3;2930,27
202310;1;MT;51011;VOTORANTIM;28;25947,39
202310;1;PA;51750;BANCO SICOOB;2;4210,09
202310;1;PA;49906;BB;221;112054,40
202310;1;PA;30290;BMG;288;218356,71
202310;1;PA;10045;BRADESCO;312;204129,53
202310;1;PA;49944;BTG PACTUAL;588;424802,80
202310;1;PA;52072;C6 BANK;78;49397,24
202310;1;PA;51626;CAIXA ECONÔMICA FEDERAL;270;149931,42
202310;1;PA;51884;INTER;1425;994034,07
202310;1;PA;10069;ITAU;304;218638,50
202310;1;PA;52058;NUBANK;2350;1383941,66
202310;1;PA;30379;SANTANDER;315;195795,52
202310;1;PA;51011;VOTORANTIM;28;19796,07
202310;1;PB;49906;BB;175;100084,33
202310;1;PB;30290;BMG;275;234480,52
202310;1;PB;10045;BRADESCO;326;226253,13
202310;1;PB;49944;BTG PACTUAL;474;371373,61
202310;1;PB;52072;C6 BANK;41;31662,77
202310;1;PB;51626;CAIXA ECONÔMICA FEDERAL;253;162972,33
202310;1;PB;51884;INTER;971;766266,36
202310;1;PB;10069;ITAU;169;120784,42
202310;1;PB;52058;NUBANK;1445;934090,08
202310;1;PB;30379;SANTANDER;184;136495,55
202310;1;PB;51011;VOTORANTIM;14;8726,31
202310;1;PE;51750;BANCO SICOOB;4;4430,54
202310;1;PE;49906;BB;329;202590,86
202310;1;PE;30290;BMG;558;449976,38
202310;1;PE;10045;BRADESCO;644;443896,31
202310;1;PE;49944;BTG PACTUAL;925;691118,47
202310;1;PE;52072;C6 BANK;124;82795,71
202310;1;PE;51626;CAIXA ECONÔMICA FEDERAL;569;379637,82
202310;1;PE;4174720;CC SICOOB COOPEMAR;1;2256,10
202310;1;PE;51884;INTER;2104;1502935,64
202310;1;PE;10069;ITAU;606;435842,28
202310;1;PE;52058;NUBANK;3078;2014234,99
202310;1;PE;30379;SANTANDER;574;382190,33
202310;1;PE;51011;VOTORANTIM;27;23210,51
202310;1;PI;51750;BANCO SICOOB;2;685,98
202310;1;PI;49906;BB;252;158765,14
202310;1;PI;30290;BMG;182;151673,64
202310;1;PI;10045;BRADESCO;168;136133,49
202310;1;PI;49944;BTG PACTUAL;341;270787,66
202310;1;PI;52072;C6 BANK;50;37367,48
202310;1;PI;51626;CAIXA ECONÔMICA FEDERAL;205;175401,87
202310;1;PI;23623636;CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT;1;1039,09
202310;1;PI;51884;INTER;750;632035,05
202310;1;PI;10069;ITAU;114;76337,08
202310;1;PI;52058;NUBANK;1365;1028999,46
202310;1;PI;30379;SANTANDER;124;100146,63
202310;1;PI;51011;VOTORANTIM;12;7359,87
202310;1;PR;51750;BANCO SICOOB;25;15174,91
202310;1;PR;49906;BB;204;124099,54
202310;1;PR;30290;BMG;516;420002,68
202310;1;PR;10045;BRADESCO;492;313532,35
202310;1;PR;49944;BTG PACTUAL;1069;837163,76
202310;1;PR;52072;C6 BANK;227;143196,32
202310;1;PR;51626;CAIXA ECONÔMICA FEDERAL;458;301857,88
202310;1;PR;2466552;CC SICOOB VALE SUL;5;5849,06
202310;1;PR;2015588;CCLA DO CENTRO SUL RONDONIENSE;1;678,62
202310;1;PR;23623636;CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT;1;514,63
202310;1;PR;7026923;CCLA SICOOB ARENITO PARANÁ / SÃO PAULO;1;880,99
202310;1;PR;78862083;COOP NOVOS CAMPOS;1;1011,52
202310;1;PR;51884;INTER;1906;1439342,14
202310;1;PR;10069;ITAU;755;523254,40
202310;1;PR;52058;NUBANK;3148;2043202,88
202310;1;PR;30379;SANTANDER;474;309769,21
202310;1;PR;3632872;SICOOB CREDISUL;1;384,35
202310;1;PR;51011;VOTORANTIM;23;20431,05
202310;1;RJ;51750;BANCO SICOOB;16;12502,81
202310;1;RJ;49906;BB;474;253832,70
202310;1;RJ;30290;BMG;1300;1005105,51
202310;1;RJ;10045;BRADESCO;1733;1134565,67
202310;1;RJ;49944;BTG PACTUAL;2595;1942158,24
202310;1;RJ;52072;C6 BANK;591;384319,37
202310;1;RJ;51626;CAIXA ECONÔMICA FEDERAL;1234;781063,38
202310;1;RJ;51884;INTER;5452;3922114,48
202310;1;RJ;10069;ITAU;3247;2116966,94
202310;1;RJ;52058;NUBANK;9340;5632069,58
202310;1;RJ;30379;SANTANDER;2208;1438498,53
202310;1;RJ;51011;VOTORANTIM;79;60321,99
202310;1;RN;51750;BANCO SICOOB;1;532,19
202310;1;RN;49906;BB;204;118482,00
202310;1;RN;30290;BMG;210;177193,23
202310;1;RN;10045;BRADESCO;196;134249,98
202310;1;RN;49944;BTG PACTUAL;398;284076,79
202310;1;RN;52072;C6 BANK;57;36966,00
202310;1;RN;51626;CAIXA ECONÔMICA FEDERAL;176;123505,79
202310;1;RN;51884;INTER;841;629271,34
202310;1;RN;10069;ITAU;147;105843,43
202310;1;RN;52058;NUBANK;1209;795900,40
202310;1;RN;30379;SANTANDER;150;106821,08
202310;1;RN;51011;VOTORANTIM;16;13220,52
202310;1;RO;51750;BANCO SICOOB;5;5749,39
202310;1;RO;49906;BB;99;62189,23
202310;1;RO;30290;BMG;100;87100,79
202310;1;RO;10045;BRADESCO;112;87657,84
202310;1;RO;49944;BTG PACTUAL;215;199611,97
202310;1;RO;8044854;C.C. DO CENTRO DO ESTADO DE RONDÔNIA;9;8377,64
202310;1;RO;52072;C6 BANK;27;13996,08
202310;1;RO;51626;CAIXA ECONÔMICA FEDERAL;98;69812,95
202310;1;RO;4751713;CC INV DE RONDÔNIA - SICOOB CREDJURD;1;278,39
202310;1;RO;2015588;CCLA DO CENTRO SUL RONDONIENSE;37;49410,47
202310;1;RO;51884;INTER;401;348683,51
202310;1;RO;10069;ITAU;78;59499,17
202310;1;RO;52058;NUBANK;966;693429,55
202310;1;RO;30379;SANTANDER;104;83663,71
202310;1;RO;5203605;SICOOB AMAZÔNIA;1;603,07
202310;1;RO;3632872;SICOOB CREDISUL;10;9202,29
202310;1;RO;51011;VOTORANTIM;11;9937,55
202310;1;RR;49906;BB;27;12894,17
202310;1;RR;30290;BMG;24;17319,21
202310;1;RR;10045;BRADESCO;8;5322,03
202310;1;RR;49944;BTG PACTUAL;38;26926,86
202310;1;RR;52072;C6 BANK;7;6225,41
