Data,1178 - % a.a.,11 - % a.d.,Tx. %acum.
27/01/1995,"45,53","0,149","1.192,04"
30/01/1995,"45,89","0,15","1.193,98"
31/01/1995,"46,14","0,150667","1.195,93"
01/02/1995,"56,28","0,177333","1.198,23"
02/02/1995,"56,67","0,178333","1.200,55"
03/02/1995,"56,94","0,179","1.202,87"
06/02/1995,"56,94","0,179","1.205,21"
07/02/1995,"56,81","0,178667","1.207,54"
08/02/1995,"56,81","0,178667","1.209,87"
09/02/1995,"56,67","0,178333","1.212,21"
10/02/1995,"56,67","0,178333","1.214,55"
13/02/1995,"56,67","0,178333","1.216,89"
14/02/1995,"56,54","0,178","1.219,24"
15/02/1995,"56,54","0,178","1.221,59"
16/02/1995,"56,41","0,177667","1.223,93"
17/02/1995,"56,41","0,177667","1.226,29"
20/02/1995,"56,28","0,177333","1.228,64"
21/02/1995,"56,28","0,177333","1.230,99"
22/02/1995,"56,28","0,177333","1.233,35"
23/02/1995,"56,28","0,177333","1.235,72"
24/02/1995,"56,28","0,177333","1.238,09"
01/03/1995,"41,67","0,138333","1.239,94"
02/03/1995,"41,56","0,138","1.241,79"
03/03/1995,"41,67","0,138333","1.243,64"
06/03/1995,"41,67","0,138333","1.245,50"
07/03/1995,"41,67","0,138333","1.247,36"
08/03/1995,"41,67","0,138333","1.249,23"
09/03/1995,"41,67","0,138333","1.251,09"
10/03/1995,"65,87","0,201","1.253,81"
13/03/1995,"65,73","0,200667","1.256,53"
14/03/1995,"65,59","0,200333","1.259,24"
15/03/1995,"65,73","0,200667","1.261,97"
16/03/1995,"65,73","0,200667","1.264,71"
17/03/1995,"65,73","0,200667","1.267,44"
20/03/1995,"65,73","0,200667","1.270,19"
21/03/1995,"65,73","0,200667","1.272,94"
22/03/1995,"65,73","0,200667","1.275,69"
23/03/1995,"65,73","0,200667","1.278,45"
24/03/1995,"65,73","0,200667","1.281,22"
27/03/1995,"65,73","0,200667","1.283,99"
28/03/1995,"65,59","0,200333","1.286,76"
29/03/1995,"65,59","0,200333","1.289,54"
30/03/1995,"65,59","0,200333","1.292,32"
31/03/1995,"65,73","0,200667","1.295,12"
03/04/1995,"85,74","0,246","1.298,55"
04/04/1995,"85,58","0,245667","1.301,99"
05/04/1995,"85,43","0,245333","1.305,43"
06/04/1995,"85,43","0,245333","1.308,87"
07/04/1995,"85,43","0,245333","1.312,33"
10/04/1995,"85,43","0,245333","1.315,80"
11/04/1995,"85,43","0,245333","1.319,27"
12/04/1995,"85,43","0,245333","1.322,75"
17/04/1995,"85,58","0,245667","1.326,25"
18/04/1995,"85,43","0,245333","1.329,75"
19/04/1995,"85,43","0,245333","1.333,25"
20/04/1995,"85,43","0,245333","1.336,77"
24/04/1995,"85,58","0,245667","1.340,30"
25/04/1995,"85,43","0,245333","1.343,83"
26/04/1995,"85,43","0,245333","1.347,37"
27/04/1995,"85,43","0,245333","1.350,93"
28/04/1995,"85,43","0,245333","1.354,48"
02/05/1995,"61,34","0,19","1.357,25"
03/05/1995,"61,21","0,189667","1.360,01"
04/05/1995,"61,21","0,189667","1.362,78"
05/05/1995,"61,21","0,189667","1.365,56"
08/05/1995,"61,21","0,189667","1.368,34"
09/05/1995,"61,21","0,189667","1.371,12"
10/05/1995,"61,21","0,189667","1.373,91"
11/05/1995,"61,07","0,189333","1.376,70"
12/05/1995,"61,07","0,189333","1.379,50"
15/05/1995,"61,07","0,189333","1.382,30"
16/05/1995,"60,94","0,189","1.385,10"
17/05/1995,"60,94","0,189","1.387,91"
18/05/1995,"60,94","0,189","1.390,72"
19/05/1995,"60,94","0,189","1.393,54"
22/05/1995,"60,94","0,189","1.396,36"
23/05/1995,"60,94","0,189","1.399,19"
24/05/1995,"60,94","0,189","1.402,02"
25/05/1995,"60,94","0,189","1.404,86"
26/05/1995,"60,94","0,189","1.407,70"
29/05/1995,"60,94","0,189","1.410,55"
30/05/1995,"60,94","0,189","1.413,41"
31/05/1995,"60,94","0,189","1.416,27"
01/06/1995,"61,34","0,19","1.419,15"
02/06/1995,"60,94","0,189","1.422,02"
05/06/1995,"60,94","0,189","1.424,90"
06/06/1995,"60,8","0,188667","1.427,77"
07/06/1995,"60,8","0,188667","1.430,66"
08/06/1995,"60,8","0,188667","1.433,54"
09/06/1995,"60,8","0,188667","1.436,44"
12/06/1995,"60,8","0,188667","1.439,34"
13/06/1995,"60,8","0,188667","1.442,24"
14/06/1995,"60,8","0,188667","1.445,15"
16/06/1995,"60,8","0,188667","1.448,07"
19/06/1995,"60,8","0,188667","1.450,99"
20/06/1995,"60,8","0,188667","1.453,91"
21/06/1995,"60,8","0,188667","1.456,84"
22/06/1995,"60,8","0,188667","1.459,78"
23/06/1995,"60,8","0,188667","1.462,72"
26/06/1995,"60,8","0,188667","1.465,67"
27/06/1995,"60,8","0,188667","1.468,63"
28/06/1995,"60,8","0,188667","1.471,59"
29/06/1995,"60,8","0,188667","1.474,55"
30/06/1995,"60,8","0,188667","1.477,52"
03/07/1995,"60,53","0,188","1.480,49"
04/07/1995,"60,8","0,188667","1.483,47"
05/07/1995,"60,8","0,188667","1.486,46"
06/07/1995,"60,8","0,188667","1.489,45"
07/07/1995,"60,8","0,188667","1.492,45"
10/07/1995,"60,67","0,188333","1.495,45"
11/07/1995,"60,67","0,188333","1.498,45"
12/07/1995,"60,67","0,188333","1.501,46"
13/07/1995,"60,53","0,188","1.504,47"
14/07/1995,"60,53","0,188","1.507,49"
17/07/1995,"60,4","0,187667","1.510,51"
18/07/1995,"60,4","0,187667","1.513,53"
19/07/1995,"60,4","0,187667","1.516,56"
20/07/1995,"60,4","0,187667","1.519,59"
21/07/1995,"60,4","0,187667","1.522,63"
24/07/1995,"60,4","0,187667","1.525,68"
25/07/1995,"60,4","0,187667","1.528,73"
26/07/1995,"60,4","0,187667","1.531,78"
27/07/1995,"60,4","0,187667","1.534,85"
28/07/1995,"60,4","0,187667","1.537,91"
31/07/1995,"60,4","0,187667","1.540,99"
01/08/1995,"52,4","0,167333","1.543,73"
02/08/1995,"52,27","0,167","1.546,48"
03/08/1995,"52,27","0,167","1.549,23"
04/08/1995,"51,76","0,165667","1.551,96"
07/08/1995,51,"0,163667","1.554,66"
08/08/1995,51,"0,163667","1.557,37"
09/08/1995,"50,87","0,163333","1.560,08"
10/08/1995,"50,87","0,163333","1.562,79"
11/08/1995,"50,87","0,163333","1.565,51"
14/08/1995,"50,87","0,163333","1.568,23"
15/08/1995,"50,87","0,163333","1.570,95"
16/08/1995,"50,87","0,163333","1.573,68"
17/08/1995,"50,87","0,163333","1.576,41"
18/08/1995,"50,87","0,163333","1.579,15"
21/08/1995,"50,87","0,163333","1.581,90"
22/08/1995,"50,87","0,163333","1.584,64"
23/08/1995,"50,87","0,163333","1.587,39"
24/08/1995,"50,87","0,163333","1.590,15"
25/08/1995,"50,87","0,163333","1.592,91"
28/08/1995,"50,87","0,163333","1.595,68"
29/08/1995,"50,87","0,163333","1.598,45"
30/08/1995,"50,87","0,163333","1.601,22"
31/08/1995,"50,87","0,163333","1.604,00"
01/09/1995,"52,27","0,167","1.606,84"
04/09/1995,51,"0,163667","1.609,64"
05/09/1995,51,"0,163667","1.612,44"
06/09/1995,51,"0,163667","1.615,24"
08/09/1995,51,"0,163667","1.618,05"
11/09/1995,51,"0,163667","1.620,86"
12/09/1995,51,"0,163667","1.623,67"
13/09/1995,51,"0,163667","1.626,49"
14/09/1995,"50,75","0,163","1.629,31"
15/09/1995,51,"0,163667","1.632,14"
18/09/1995,51,"0,163667","1.634,97"
19/09/1995,51,"0,163667","1.637,81"
20/09/1995,51,"0,163667","1.640,66"
21/09/1995,51,"0,163667","1.643,51"
22/09/1995,51,"0,163667","1.646,36"
25/09/1995,51,"0,163667","1.649,22"
26/09/1995,51,"0,163667","1.652,08"
27/09/1995,51,"0,163667","1.654,95"
28/09/1995,"50,62","0,162667","1.657,80"
29/09/1995,"50,37","0,162","1.660,65"
02/10/1995,"44,19","0,145333","1.663,21"
03/10/1995,"44,8","0,147","1.665,80"
04/10/1995,"44,55","0,146333","1.668,39"
05/10/1995,"44,19","0,145333","1.670,96"
06/10/1995,"43,59","0,143667","1.673,50"
09/10/1995,"43,59","0,143667","1.676,05"
10/10/1995,"43,59","0,143667","1.678,60"
11/10/1995,"43,71","0,144","1.681,16"
13/10/1995,"43,59","0,143667","1.683,72"
16/10/1995,"45,41","0,148667","1.686,37"
17/10/1995,"44,43","0,146","1.688,98"
18/10/1995,"44,55","0,146333","1.691,60"
19/10/1995,"44,68","0,146667","1.694,23"
20/10/1995,"44,8","0,147","1.696,86"
23/10/1995,"44,8","0,147","1.699,50"
24/10/1995,"43,71","0,144","1.702,10"
25/10/1995,"44,19","0,145333","1.704,71"
26/10/1995,"44,07","0,145","1.707,33"
27/10/1995,"43,47","0,143333","1.709,92"
30/10/1995,"43,47","0,143333","1.712,52"
31/10/1995,"42,99","0,142","1.715,09"
01/11/1995,"42,63","0,141","1.717,65"
03/11/1995,"42,03","0,139333","1.720,18"
06/11/1995,"42,63","0,141","1.722,75"
07/11/1995,"42,87","0,141667","1.725,33"
08/11/1995,"43,71","0,144","1.727,96"
09/11/1995,"43,71","0,144","1.730,59"
10/11/1995,"43,71","0,144","1.733,23"
13/11/1995,"44,19","0,145333","1.735,89"
14/11/1995,"44,07","0,145","1.738,55"
16/11/1995,"44,31","0,145667","1.741,23"
17/11/1995,"44,19","0,145333","1.743,91"
20/11/1995,"44,19","0,145333","1.746,59"
21/11/1995,"42,39","0,140333","1.749,18"
22/11/1995,"42,15","0,139667","1.751,76"
23/11/1995,"42,03","0,139333","1.754,34"
24/11/1995,"41,91","0,139","1.756,92"
27/11/1995,"42,03","0,139333","1.759,51"
28/11/1995,"42,15","0,139667","1.762,10"
29/11/1995,"41,91","0,139","1.764,69"
30/11/1995,"41,91","0,139","1.767,28"
01/12/1995,"40,02","0,133667","1.769,78"
04/12/1995,"40,61","0,135333","1.772,31"
05/12/1995,"40,25","0,134333","1.774,83"
06/12/1995,"40,25","0,134333","1.777,34"
07/12/1995,"40,49","0,135","1.779,88"
08/12/1995,"40,14","0,134","1.782,40"
11/12/1995,"41,79","0,138667","1.785,01"
12/12/1995,"40,73","0,135667","1.787,57"
13/12/1995,"40,84","0,136","1.790,13"
14/12/1995,"42,03","0,139333","1.792,77"
15/12/1995,"42,51","0,140667","1.795,43"
18/12/1995,"42,51","0,140667","1.798,09"
19/12/1995,"42,39","0,140333","1.800,76"
20/12/1995,"42,39","0,140333","1.803,43"
21/12/1995,"42,27","0,14","1.806,09"
22/12/1995,"42,15","0,139667","1.808,75"
26/12/1995,"41,67","0,138333","1.811,39"
27/12/1995,"40,96","0,136333","1.814,00"
28/12/1995,"40,25","0,134333","1.816,57"
29/12/1995,"40,25","0,134333","1.819,14"
02/01/1995,"35,29","0,12","1.821,45"
03/01/1996,"35,17","0,119667","1.823,75"
04/01/1996,"33,48","0,114667","1.825,95"
05/01/1996,"33,15","0,113667","1.828,14"
08/01/1996,"33,15","0,113667","1.830,33"
09/01/1996,"33,15","0,113667","1.832,53"
10/01/1996,"33,15","0,113667","1.834,72"
11/01/1996,"33,26","0,114","1.836,93"
12/01/1996,"33,26","0,114","1.839,14"
15/01/1996,"33,15","0,113667","1.841,34"
16/01/1996,"33,26","0,114","1.843,56"
17/01/1996,"33,48","0,114667","1.845,78"
18/01/1996,"33,15","0,113667","1.848,00"
19/01/1996,"34,72","0,118333","1.850,30"
22/01/1996,"34,72","0,118333","1.852,61"
23/01/1996,"34,61","0,118","1.854,91"
24/01/1996,"34,72","0,118333","1.857,23"
25/01/1996,"34,16","0,116667","1.859,51"
26/01/1996,"33,59","0,115","1.861,76"
29/01/1996,"33,48","0,114667","1.864,01"
30/01/1996,"34,27","0,117","1.866,31"
31/01/1996,"33,93","0,116","1.868,59"
01/02/1996,"36,08","0,122333","1.871,00"
02/02/1996,"35,85","0,121667","1.873,40"
05/02/1996,"35,51","0,120667","1.875,78"
06/02/1996,"35,85","0,121667","1.878,18"
07/02/1996,"35,51","0,120667","1.880,57"
08/02/1996,"35,51","0,120667","1.882,96"
09/02/1996,"35,4","0,120333","1.885,35"
12/02/1996,"35,97","0,122","1.887,77"
13/02/1996,"35,74","0,121333","1.890,18"
14/02/1996,"36,65","0,124","1.892,65"
15/02/1996,"37,23","0,125667","1.895,15"
16/02/1996,"37,23","0,125667","1.897,66"
21/02/1996,"37,46","0,126333","1.900,18"
22/02/1996,"37,46","0,126333","1.902,71"
23/02/1996,"37,46","0,126333","1.905,24"
26/02/1996,"36,2","0,122667","1.907,70"
27/02/1996,"35,4","0,120333","1.910,12"
28/02/1996,"35,17","0,119667","1.912,52"
29/02/1996,"34,38","0,117333","1.914,88"
01/03/1996,"31,15","0,107667","1.917,05"
04/03/1996,"31,59","0,109","1.919,25"
05/03/1996,"29,95","0,104","1.921,35"
06/03/1996,"30,16","0,104667","1.923,47"
07/03/1996,"30,16","0,104667","1.925,58"
08/03/1996,"29,95","0,104","1.927,69"
11/03/1996,"30,49","0,105667","1.929,83"
12/03/1996,"30,49","0,105667","1.931,98"
13/03/1996,"29,95","0,104","1.934,09"
14/03/1996,"29,95","0,104","1.936,21"
15/03/1996,"29,95","0,104","1.938,32"
18/03/1996,"30,27","0,105","1.940,46"
19/03/1996,"30,16","0,104667","1.942,60"
20/03/1996,"29,95","0,104","1.944,72"
21/03/1996,"29,95","0,104","1.946,85"
22/03/1996,"29,84","0,103667","1.948,97"
25/03/1996,"29,84","0,103667","1.951,10"
26/03/1996,"29,95","0,104","1.953,23"
27/03/1996,"29,95","0,104","1.955,37"
28/03/1996,"29,84","0,103667","1.957,50"
29/03/1996,"29,84","0,103667","1.959,63"
01/04/1996,"29,18","0,101667","1.961,72"
02/04/1996,"28,86","0,100667","1.963,80"
03/04/1996,"29,18","0,101667","1.965,90"
08/04/1996,"29,08","0,101333","1.967,99"
09/04/1996,"28,97","0,101","1.970,08"
10/04/1996,"30,16","0,104667","1.972,25"
11/04/1996,"30,27","0,105","1.974,42"
12/04/1996,"30,27","0,105","1.976,60"
15/04/1996,"30,82","0,106667","1.978,81"
16/04/1996,"30,93","0,107","1.981,04"
17/04/1996,"30,93","0,107","1.983,27"
18/04/1996,"30,82","0,106667","1.985,49"
19/04/1996,"30,6","0,106","1.987,70"
22/04/1996,"30,38","0,105333","1.989,90"
23/04/1996,"29,29","0,102","1.992,03"
24/04/1996,"28,97","0,101","1.994,14"
25/04/1996,"28,86","0,100667","1.996,25"
26/04/1996,"28,1","0,098333","1.998,31"
29/04/1996,"26,93","0,094667","2.000,30"
30/04/1996,"25,97","0,091667","2.002,22"
02/05/1996,"25,34","0,089667","2.004,11"
03/05/1996,"25,13","0,089","2.005,98"
06/05/1996,"25,02","0,088667","2.007,85"
07/05/1996,"25,02","0,088667","2.009,72"
08/05/1996,"25,02","0,088667","2.011,59"
09/05/1996,"25,02","0,088667","2.013,46"
10/05/1996,"25,02","0,088667","2.015,33"
13/05/1996,"25,02","0,088667","2.017,21"
14/05/1996,"25,13","0,089","2.019,09"
