Data;Nome_Indicador;Area_Analise;Valor;Unidade_Medida;Fonte
1993-07-01;Inadimplência PF Recursos Livres;Risco;109.82;% ao Mês;Banco Central do Brasil (BCB)
1993-08-01;Inadimplência PF Recursos Livres;Risco;100.23;% ao Mês;Banco Central do Brasil (BCB)
1993-09-01;Inadimplência PF Recursos Livres;Risco;99.03;% ao Mês;Banco Central do Brasil (BCB)
1993-10-01;Inadimplência PF Recursos Livres;Risco;89.57;% ao Mês;Banco Central do Brasil (BCB)
1993-11-01;Inadimplência PF Recursos Livres;Risco;78.70;% ao Mês;Banco Central do Brasil (BCB)
1993-12-01;Inadimplência PF Recursos Livres;Risco;103.08;% ao Mês;Banco Central do Brasil (BCB)
1994-01-01;Inadimplência PF Recursos Livres;Risco;74.59;% ao Mês;Banco Central do Brasil (BCB)
1994-02-01;Inadimplência PF Recursos Livres;Risco;78.81;% ao Mês;Banco Central do Brasil (BCB)
1994-03-01;Inadimplência PF Recursos Livres;Risco;88.53;% ao Mês;Banco Central do Brasil (BCB)
1994-04-01;Inadimplência PF Recursos Livres;Risco;78.87;% ao Mês;Banco Central do Brasil (BCB)
1994-05-01;Inadimplência PF Recursos Livres;Risco;106.63;% ao Mês;Banco Central do Brasil (BCB)
1994-06-01;Inadimplência PF Recursos Livres;Risco;86.64;% ao Mês;Banco Central do Brasil (BCB)
1994-07-01;Inadimplência PF Recursos Livres;Risco;107.09;% ao Mês;Banco Central do Brasil (BCB)
1994-08-01;Inadimplência PF Recursos Livres;Risco;156.73;% ao Mês;Banco Central do Brasil (BCB)
1994-09-01;Inadimplência PF Recursos Livres;Risco;158.24;% ao Mês;Banco Central do Brasil (BCB)
1994-10-01;Inadimplência PF Recursos Livres;Risco;161.66;% ao Mês;Banco Central do Brasil (BCB)
1994-11-01;Inadimplência PF Recursos Livres;Risco;152.80;% ao Mês;Banco Central do Brasil (BCB)
1994-12-01;Inadimplência PF Recursos Livres;Risco;196.65;% ao Mês;Banco Central do Brasil (BCB)
1995-01-01;Inadimplência PF Recursos Livres;Risco;152.68;% ao Mês;Banco Central do Brasil (BCB)
1995-02-01;Inadimplência PF Recursos Livres;Risco;130.55;% ao Mês;Banco Central do Brasil (BCB)
1995-03-01;Inadimplência PF Recursos Livres;Risco;158.33;% ao Mês;Banco Central do Brasil (BCB)
1995-04-01;Inadimplência PF Recursos Livres;Risco;128.47;% ao Mês;Banco Central do Brasil (BCB)
1995-05-01;Inadimplência PF Recursos Livres;Risco;135.90;% ao Mês;Banco Central do Brasil (BCB)
1995-06-01;Inadimplência PF Recursos Livres;Risco;129.75;% ao Mês;Banco Central do Brasil (BCB)
1995-07-01;Inadimplência PF Recursos Livres;Risco;135.29;% ao Mês;Banco Central do Brasil (BCB)
1995-08-01;Inadimplência PF Recursos Livres;Risco;127.70;% ao Mês;Banco Central do Brasil (BCB)
1995-09-01;Inadimplência PF Recursos Livres;Risco;134.22;% ao Mês;Banco Central do Brasil (BCB)
1995-10-01;Inadimplência PF Recursos Livres;Risco;146.61;% ao Mês;Banco Central do Brasil (BCB)
1995-11-01;Inadimplência PF Recursos Livres;Risco;144.88;% ao Mês;Banco Central do Brasil (BCB)
1995-12-01;Inadimplência PF Recursos Livres;Risco;137.25;% ao Mês;Banco Central do Brasil (BCB)
1996-01-01;Inadimplência PF Recursos Livres;Risco;127.82;% ao Mês;Banco Central do Brasil (BCB)
1996-02-01;Inadimplência PF Recursos Livres;Risco;124.77;% ao Mês;Banco Central do Brasil (BCB)
1996-03-01;Inadimplência PF Recursos Livres;Risco;134.81;% ao Mês;Banco Central do Brasil (BCB)
1996-04-01;Inadimplência PF Recursos Livres;Risco;124.27;% ao Mês;Banco Central do Brasil (BCB)
1996-05-01;Inadimplência PF Recursos Livres;Risco;122.85;% ao Mês;Banco Central do Brasil (BCB)
1996-06-01;Inadimplência PF Recursos Livres;Risco;112.55;% ao Mês;Banco Central do Brasil (BCB)
1996-07-01;Inadimplência PF Recursos Livres;Risco;119.23;% ao Mês;Banco Central do Brasil (BCB)
1996-08-01;Inadimplência PF Recursos Livres;Risco;121.90;% ao Mês;Banco Central do Brasil (BCB)
1996-09-01;Inadimplência PF Recursos Livres;Risco;113.99;% ao Mês;Banco Central do Brasil (BCB)
1996-10-01;Inadimplência PF Recursos Livres;Risco;124.76;% ao Mês;Banco Central do Brasil (BCB)
1996-11-01;Inadimplência PF Recursos Livres;Risco;132.68;% ao Mês;Banco Central do Brasil (BCB)
1996-12-01;Inadimplência PF Recursos Livres;Risco;118.96;% ao Mês;Banco Central do Brasil (BCB)
1997-01-01;Inadimplência PF Recursos Livres;Risco;102.65;% ao Mês;Banco Central do Brasil (BCB)
1997-02-01;Inadimplência PF Recursos Livres;Risco;102.83;% ao Mês;Banco Central do Brasil (BCB)
1997-03-01;Inadimplência PF Recursos Livres;Risco;106.98;% ao Mês;Banco Central do Brasil (BCB)
1997-04-01;Inadimplência PF Recursos Livres;Risco;108.66;% ao Mês;Banco Central do Brasil (BCB)
1997-05-01;Inadimplência PF Recursos Livres;Risco;100.73;% ao Mês;Banco Central do Brasil (BCB)
1997-06-01;Inadimplência PF Recursos Livres;Risco;97.12;% ao Mês;Banco Central do Brasil (BCB)
1997-07-01;Inadimplência PF Recursos Livres;Risco;106.07;% ao Mês;Banco Central do Brasil (BCB)
1997-08-01;Inadimplência PF Recursos Livres;Risco;107.62;% ao Mês;Banco Central do Brasil (BCB)
1997-09-01;Inadimplência PF Recursos Livres;Risco;111.53;% ao Mês;Banco Central do Brasil (BCB)
1997-10-01;Inadimplência PF Recursos Livres;Risco;114.66;% ao Mês;Banco Central do Brasil (BCB)
1997-11-01;Inadimplência PF Recursos Livres;Risco;93.41;% ao Mês;Banco Central do Brasil (BCB)
1997-12-01;Inadimplência PF Recursos Livres;Risco;107.69;% ao Mês;Banco Central do Brasil (BCB)
1998-01-01;Inadimplência PF Recursos Livres;Risco;90.09;% ao Mês;Banco Central do Brasil (BCB)
1998-02-01;Inadimplência PF Recursos Livres;Risco;96.42;% ao Mês;Banco Central do Brasil (BCB)
1998-03-01;Inadimplência PF Recursos Livres;Risco;105.21;% ao Mês;Banco Central do Brasil (BCB)
1998-04-01;Inadimplência PF Recursos Livres;Risco;93.15;% ao Mês;Banco Central do Brasil (BCB)
1998-05-01;Inadimplência PF Recursos Livres;Risco;99.83;% ao Mês;Banco Central do Brasil (BCB)
1998-06-01;Inadimplência PF Recursos Livres;Risco;95.91;% ao Mês;Banco Central do Brasil (BCB)
1998-07-01;Inadimplência PF Recursos Livres;Risco;104.54;% ao Mês;Banco Central do Brasil (BCB)
1998-08-01;Inadimplência PF Recursos Livres;Risco;101.51;% ao Mês;Banco Central do Brasil (BCB)
1998-09-01;Inadimplência PF Recursos Livres;Risco;101.88;% ao Mês;Banco Central do Brasil (BCB)
1998-10-01;Inadimplência PF Recursos Livres;Risco;104.95;% ao Mês;Banco Central do Brasil (BCB)
1998-11-01;Inadimplência PF Recursos Livres;Risco;99.74;% ao Mês;Banco Central do Brasil (BCB)
1998-12-01;Inadimplência PF Recursos Livres;Risco;106.76;% ao Mês;Banco Central do Brasil (BCB)
1999-01-01;Inadimplência PF Recursos Livres;Risco;83.49;% ao Mês;Banco Central do Brasil (BCB)
1999-02-01;Inadimplência PF Recursos Livres;Risco;90.74;% ao Mês;Banco Central do Brasil (BCB)
1999-03-01;Inadimplência PF Recursos Livres;Risco;107.53;% ao Mês;Banco Central do Brasil (BCB)
1999-04-01;Inadimplência PF Recursos Livres;Risco;87.37;% ao Mês;Banco Central do Brasil (BCB)
1999-05-01;Inadimplência PF Recursos Livres;Risco;91.10;% ao Mês;Banco Central do Brasil (BCB)
1999-06-01;Inadimplência PF Recursos Livres;Risco;98.57;% ao Mês;Banco Central do Brasil (BCB)
1999-07-01;Inadimplência PF Recursos Livres;Risco;107.33;% ao Mês;Banco Central do Brasil (BCB)
1999-08-01;Inadimplência PF Recursos Livres;Risco;104.58;% ao Mês;Banco Central do Brasil (BCB)
1999-09-01;Inadimplência PF Recursos Livres;Risco;101.96;% ao Mês;Banco Central do Brasil (BCB)
1999-10-01;Inadimplência PF Recursos Livres;Risco;101.21;% ao Mês;Banco Central do Brasil (BCB)
1999-11-01;Inadimplência PF Recursos Livres;Risco;112.18;% ao Mês;Banco Central do Brasil (BCB)
1999-12-01;Inadimplência PF Recursos Livres;Risco;129.80;% ao Mês;Banco Central do Brasil (BCB)
2000-01-01;Inadimplência PF Recursos Livres;Risco;110.41;% ao Mês;Banco Central do Brasil (BCB)
2000-02-01;Inadimplência PF Recursos Livres;Risco;126.55;% ao Mês;Banco Central do Brasil (BCB)
2000-03-01;Inadimplência PF Recursos Livres;Risco;134.46;% ao Mês;Banco Central do Brasil (BCB)
2000-04-01;Inadimplência PF Recursos Livres;Risco;132.87;% ao Mês;Banco Central do Brasil (BCB)
2000-05-01;Inadimplência PF Recursos Livres;Risco;133.31;% ao Mês;Banco Central do Brasil (BCB)
2000-06-01;Inadimplência PF Recursos Livres;Risco;128.33;% ao Mês;Banco Central do Brasil (BCB)
2000-07-01;Inadimplência PF Recursos Livres;Risco;152.94;% ao Mês;Banco Central do Brasil (BCB)
2000-08-01;Inadimplência PF Recursos Livres;Risco;157.16;% ao Mês;Banco Central do Brasil (BCB)
2000-09-01;Inadimplência PF Recursos Livres;Risco;144.67;% ao Mês;Banco Central do Brasil (BCB)
2000-10-01;Inadimplência PF Recursos Livres;Risco;162.14;% ao Mês;Banco Central do Brasil (BCB)
2000-11-01;Inadimplência PF Recursos Livres;Risco;168.72;% ao Mês;Banco Central do Brasil (BCB)
2000-12-01;Inadimplência PF Recursos Livres;Risco;177.76;% ao Mês;Banco Central do Brasil (BCB)
2001-01-01;Inadimplência PF Recursos Livres;Risco;151.13;% ao Mês;Banco Central do Brasil (BCB)
2001-02-01;Inadimplência PF Recursos Livres;Risco;140.77;% ao Mês;Banco Central do Brasil (BCB)
2001-03-01;Inadimplência PF Recursos Livres;Risco;126.14;% ao Mês;Banco Central do Brasil (BCB)
2001-04-01;Inadimplência PF Recursos Livres;Risco;151.03;% ao Mês;Banco Central do Brasil (BCB)
2001-05-01;Inadimplência PF Recursos Livres;Risco;139.14;% ao Mês;Banco Central do Brasil (BCB)
2001-06-01;Inadimplência PF Recursos Livres;Risco;135.60;% ao Mês;Banco Central do Brasil (BCB)
2001-07-01;Inadimplência PF Recursos Livres;Risco;147.04;% ao Mês;Banco Central do Brasil (BCB)
2001-08-01;Inadimplência PF Recursos Livres;Risco;135.47;% ao Mês;Banco Central do Brasil (BCB)
2001-09-01;Inadimplência PF Recursos Livres;Risco;133.28;% ao Mês;Banco Central do Brasil (BCB)
2001-10-01;Inadimplência PF Recursos Livres;Risco;133.66;% ao Mês;Banco Central do Brasil (BCB)
2001-11-01;Inadimplência PF Recursos Livres;Risco;134.46;% ao Mês;Banco Central do Brasil (BCB)
2001-12-01;Inadimplência PF Recursos Livres;Risco;138.01;% ao Mês;Banco Central do Brasil (BCB)
2002-01-01;Inadimplência PF Recursos Livres;Risco;128.83;% ao Mês;Banco Central do Brasil (BCB)
2002-02-01;Inadimplência PF Recursos Livres;Risco;125.01;% ao Mês;Banco Central do Brasil (BCB)
2002-03-01;Inadimplência PF Recursos Livres;Risco;125.12;% ao Mês;Banco Central do Brasil (BCB)
2002-04-01;Inadimplência PF Recursos Livres;Risco;119.43;% ao Mês;Banco Central do Brasil (BCB)
2002-05-01;Inadimplência PF Recursos Livres;Risco;117.62;% ao Mês;Banco Central do Brasil (BCB)
2002-06-01;Inadimplência PF Recursos Livres;Risco;118.91;% ao Mês;Banco Central do Brasil (BCB)
2002-07-01;Inadimplência PF Recursos Livres;Risco;120.42;% ao Mês;Banco Central do Brasil (BCB)
2002-08-01;Inadimplência PF Recursos Livres;Risco;129.62;% ao Mês;Banco Central do Brasil (BCB)
2002-09-01;Inadimplência PF Recursos Livres;Risco;115.73;% ao Mês;Banco Central do Brasil (BCB)
2002-10-01;Inadimplência PF Recursos Livres;Risco;111.14;% ao Mês;Banco Central do Brasil (BCB)
2002-11-01;Inadimplência PF Recursos Livres;Risco;113.78;% ao Mês;Banco Central do Brasil (BCB)
2002-12-01;Inadimplência PF Recursos Livres;Risco;117.27;% ao Mês;Banco Central do Brasil (BCB)
2003-01-01;Inadimplência PF Recursos Livres;Risco;112.57;% ao Mês;Banco Central do Brasil (BCB)
2003-02-01;Inadimplência PF Recursos Livres;Risco;111.30;% ao Mês;Banco Central do Brasil (BCB)
2003-03-01;Inadimplência PF Recursos Livres;Risco;111.14;% ao Mês;Banco Central do Brasil (BCB)
2003-04-01;Inadimplência PF Recursos Livres;Risco;116.95;% ao Mês;Banco Central do Brasil (BCB)
2003-05-01;Inadimplência PF Recursos Livres;Risco;120.85;% ao Mês;Banco Central do Brasil (BCB)
2003-06-01;Inadimplência PF Recursos Livres;Risco;113.16;% ao Mês;Banco Central do Brasil (BCB)
2003-07-01;Inadimplência PF Recursos Livres;Risco;123.26;% ao Mês;Banco Central do Brasil (BCB)
2003-08-01;Inadimplência PF Recursos Livres;Risco;101.71;% ao Mês;Banco Central do Brasil (BCB)
2003-09-01;Inadimplência PF Recursos Livres;Risco;96.05;% ao Mês;Banco Central do Brasil (BCB)
2003-10-01;Inadimplência PF Recursos Livres;Risco;97.82;% ao Mês;Banco Central do Brasil (BCB)
2003-11-01;Inadimplência PF Recursos Livres;Risco;100.80;% ao Mês;Banco Central do Brasil (BCB)
2003-12-01;Inadimplência PF Recursos Livres;Risco;108.28;% ao Mês;Banco Central do Brasil (BCB)
2004-01-01;Inadimplência PF Recursos Livres;Risco;114.61;% ao Mês;Banco Central do Brasil (BCB)
2000-06-01;Juros Cheque Especial;Dívida;2.57;% ao Ano;Banco Central do Brasil (BCB)
2000-07-01;Juros Cheque Especial;Dívida;2.59;% ao Ano;Banco Central do Brasil (BCB)
2000-08-01;Juros Cheque Especial;Dívida;2.52;% ao Ano;Banco Central do Brasil (BCB)
2000-09-01;Juros Cheque Especial;Dívida;2.55;% ao Ano;Banco Central do Brasil (BCB)
2000-10-01;Juros Cheque Especial;Dívida;2.48;% ao Ano;Banco Central do Brasil (BCB)
2000-11-01;Juros Cheque Especial;Dívida;2.49;% ao Ano;Banco Central do Brasil (BCB)
2000-12-01;Juros Cheque Especial;Dívida;2.54;% ao Ano;Banco Central do Brasil (BCB)
2001-01-01;Juros Cheque Especial;Dívida;2.53;% ao Ano;Banco Central do Brasil (BCB)
2001-02-01;Juros Cheque Especial;Dívida;2.50;% ao Ano;Banco Central do Brasil (BCB)
2001-03-01;Juros Cheque Especial;Dívida;2.45;% ao Ano;Banco Central do Brasil (BCB)
2001-04-01;Juros Cheque Especial;Dívida;2.61;% ao Ano;Banco Central do Brasil (BCB)
2001-05-01;Juros Cheque Especial;Dívida;2.68;% ao Ano;Banco Central do Brasil (BCB)
2001-06-01;Juros Cheque Especial;Dívida;2.76;% ao Ano;Banco Central do Brasil (BCB)
2001-07-01;Juros Cheque Especial;Dívida;2.96;% ao Ano;Banco Central do Brasil (BCB)
2001-08-01;Juros Cheque Especial;Dívida;3.10;% ao Ano;Banco Central do Brasil (BCB)
2001-09-01;Juros Cheque Especial;Dívida;3.10;% ao Ano;Banco Central do Brasil (BCB)
2001-10-01;Juros Cheque Especial;Dívida;3.19;% ao Ano;Banco Central do Brasil (BCB)
2001-11-01;Juros Cheque Especial;Dívida;2.87;% ao Ano;Banco Central do Brasil (BCB)
2001-12-01;Juros Cheque Especial;Dívida;2.74;% ao Ano;Banco Central do Brasil (BCB)
2002-01-01;Juros Cheque Especial;Dívida;2.96;% ao Ano;Banco Central do Brasil (BCB)
2002-02-01;Juros Cheque Especial;Dívida;2.96;% ao Ano;Banco Central do Brasil (BCB)
2002-03-01;Juros Cheque Especial;Dívida;2.89;% ao Ano;Banco Central do Brasil (BCB)
2002-04-01;Juros Cheque Especial;Dívida;2.66;% ao Ano;Banco Central do Brasil (BCB)
2002-05-01;Juros Cheque Especial;Dívida;2.77;% ao Ano;Banco Central do Brasil (BCB)
2002-06-01;Juros Cheque Especial;Dívida;3.01;% ao Ano;Banco Central do Brasil (BCB)
2002-07-01;Juros Cheque Especial;Dívida;3.46;% ao Ano;Banco Central do Brasil (BCB)
2002-08-01;Juros Cheque Especial;Dívida;3.44;% ao Ano;Banco Central do Brasil (BCB)
2002-09-01;Juros Cheque Especial;Dívida;3.28;% ao Ano;Banco Central do Brasil (BCB)
2002-10-01;Juros Cheque Especial;Dívida;3.61;% ao Ano;Banco Central do Brasil (BCB)
2002-11-01;Juros Cheque Especial;Dívida;3.72;% ao Ano;Banco Central do Brasil (BCB)
2002-12-01;Juros Cheque Especial;Dívida;3.75;% ao Ano;Banco Central do Brasil (BCB)
2003-01-01;Juros Cheque Especial;Dívida;3.66;% ao Ano;Banco Central do Brasil (BCB)
2003-02-01;Juros Cheque Especial;Dívida;3.62;% ao Ano;Banco Central do Brasil (BCB)
2003-03-01;Juros Cheque Especial;Dívida;3.63;% ao Ano;Banco Central do Brasil (BCB)
2003-04-01;Juros Cheque Especial;Dívida;3.45;% ao Ano;Banco Central do Brasil (BCB)
2003-05-01;Juros Cheque Especial;Dívida;3.29;% ao Ano;Banco Central do Brasil (BCB)
2003-06-01;Juros Cheque Especial;Dívida;3.15;% ao Ano;Banco Central do Brasil (BCB)
2003-07-01;Juros Cheque Especial;Dívida;3.02;% ao Ano;Banco Central do Brasil (BCB)
2003-08-01;Juros Cheque Especial;Dívida;2.93;% ao Ano;Banco Central do Brasil (BCB)
2003-09-01;Juros Cheque Especial;Dívida;2.77;% ao Ano;Banco Central do Brasil (BCB)
2003-10-01;Juros Cheque Especial;Dívida;2.68;% ao Ano;Banco Central do Brasil (BCB)
2003-11-01;Juros Cheque Especial;Dívida;2.63;% ao Ano;Banco Central do Brasil (BCB)
2003-12-01;Juros Cheque Especial;Dívida;2.65;% ao Ano;Banco Central do Brasil (BCB)
2004-01-01;Juros Cheque Especial;Dívida;2.60;% ao Ano;Banco Central do Brasil (BCB)
2004-02-01;Juros Cheque Especial;Dívida;2.57;% ao Ano;Banco Central do Brasil (BCB)
2004-03-01;Juros Cheque Especial;Dívida;2.54;% ao Ano;Banco Central do Brasil (BCB)
2004-04-01;Juros Cheque Especial;Dívida;2.53;% ao Ano;Banco Central do Brasil (BCB)
2004-05-01;Juros Cheque Especial;Dívida;2.55;% ao Ano;Banco Central do Brasil (BCB)
2004-06-01;Juros Cheque Especial;Dívida;2.62;% ao Ano;Banco Central do Brasil (BCB)
2004-07-01;Juros Cheque Especial;Dívida;2.60;% ao Ano;Banco Central do Brasil (BCB)
2004-08-01;Juros Cheque Especial;Dívida;2.62;% ao Ano;Banco Central do Brasil (BCB)
2004-09-01;Juros Cheque Especial;Dívida;2.58;% ao Ano;Banco Central do Brasil (BCB)
2004-10-01;Juros Cheque Especial;Dívida;2.57;% ao Ano;Banco Central do Brasil (BCB)
2004-11-01;Juros Cheque Especial;Dívida;2.57;% ao Ano;Banco Central do Brasil (BCB)
2004-12-01;Juros Cheque Especial;Dívida;2.57;% ao Ano;Banco Central do Brasil (BCB)
2005-01-01;Juros Cheque Especial;Dívida;2.63;% ao Ano;Banco Central do Brasil (BCB)
2005-02-01;Juros Cheque Especial;Dívida;2.61;% ao Ano;Banco Central do Brasil (BCB)
2005-03-01;Juros Cheque Especial;Dívida;2.64;% ao Ano;Banco Central do Brasil (BCB)
2005-04-01;Juros Cheque Especial;Dívida;2.66;% ao Ano;Banco Central do Brasil (BCB)
2005-05-01;Juros Cheque Especial;Dívida;2.68;% ao Ano;Banco Central do Brasil (BCB)
2005-06-01;Juros Cheque Especial;Dívida;2.65;% ao Ano;Banco Central do Brasil (BCB)
2005-07-01;Juros Cheque Especial;Dívida;2.60;% ao Ano;Banco Central do Brasil (BCB)
2005-08-01;Juros Cheque Especial;Dívida;2.57;% ao Ano;Banco Central do Brasil (BCB)
2005-09-01;Juros Cheque Especial;Dívida;2.59;% ao Ano;Banco Central do Brasil (BCB)
2005-10-01;Juros Cheque Especial;Dívida;2.57;% ao Ano;Banco Central do Brasil (BCB)
2005-11-01;Juros Cheque Especial;Dívida;2.53;% ao Ano;Banco Central do Brasil (BCB)
2005-12-01;Juros Cheque Especial;Dívida;2.52;% ao Ano;Banco Central do Brasil (BCB)
2006-01-01;Juros Cheque Especial;Dívida;2.55;% ao Ano;Banco Central do Brasil (BCB)
2006-02-01;Juros Cheque Especial;Dívida;2.54;% ao Ano;Banco Central do Brasil (BCB)
2006-03-01;Juros Cheque Especial;Dívida;2.50;% ao Ano;Banco Central do Brasil (BCB)
2006-04-01;Juros Cheque Especial;Dívida;2.47;% ao Ano;Banco Central do Brasil (BCB)
2006-05-01;Juros Cheque Especial;Dívida;2.43;% ao Ano;Banco Central do Brasil (BCB)
2006-06-01;Juros Cheque Especial;Dívida;2.42;% ao Ano;Banco Central do Brasil (BCB)
2006-07-01;Juros Cheque Especial;Dívida;2.38;% ao Ano;Banco Central do Brasil (BCB)
2006-08-01;Juros Cheque Especial;Dívida;2.40;% ao Ano;Banco Central do Brasil (BCB)
2006-09-01;Juros Cheque Especial;Dívida;2.40;% ao Ano;Banco Central do Brasil (BCB)
2006-10-01;Juros Cheque Especial;Dívida;2.40;% ao Ano;Banco Central do Brasil (BCB)
2006-11-01;Juros Cheque Especial;Dívida;2.41;% ao Ano;Banco Central do Brasil (BCB)
2006-12-01;Juros Cheque Especial;Dívida;2.36;% ao Ano;Banco Central do Brasil (BCB)
2007-01-01;Juros Cheque Especial;Dívida;2.38;% ao Ano;Banco Central do Brasil (BCB)
2007-02-01;Juros Cheque Especial;Dívida;2.34;% ao Ano;Banco Central do Brasil (BCB)
2007-03-01;Juros Cheque Especial;Dívida;2.29;% ao Ano;Banco Central do Brasil (BCB)
2007-04-01;Juros Cheque Especial;Dívida;2.24;% ao Ano;Banco Central do Brasil (BCB)
2007-05-01;Juros Cheque Especial;Dívida;2.20;% ao Ano;Banco Central do Brasil (BCB)
2007-06-01;Juros Cheque Especial;Dívida;2.17;% ao Ano;Banco Central do Brasil (BCB)
2007-07-01;Juros Cheque Especial;Dívida;2.12;% ao Ano;Banco Central do Brasil (BCB)
2007-08-01;Juros Cheque Especial;Dívida;2.12;% ao Ano;Banco Central do Brasil (BCB)
2007-09-01;Juros Cheque Especial;Dívida;2.12;% ao Ano;Banco Central do Brasil (BCB)
2007-10-01;Juros Cheque Especial;Dívida;2.11;% ao Ano;Banco Central do Brasil (BCB)
2007-11-01;Juros Cheque Especial;Dívida;2.11;% ao Ano;Banco Central do Brasil (BCB)
2007-12-01;Juros Cheque Especial;Dívida;2.13;% ao Ano;Banco Central do Brasil (BCB)
2008-01-01;Juros Cheque Especial;Dívida;2.29;% ao Ano;Banco Central do Brasil (BCB)
2008-02-01;Juros Cheque Especial;Dívida;2.29;% ao Ano;Banco Central do Brasil (BCB)
2008-03-01;Juros Cheque Especial;Dívida;2.22;% ao Ano;Banco Central do Brasil (BCB)
2008-04-01;Juros Cheque Especial;Dívida;2.20;% ao Ano;Banco Central do Brasil (BCB)
2008-05-01;Juros Cheque Especial;Dívida;2.25;% ao Ano;Banco Central do Brasil (BCB)
2008-06-01;Juros Cheque Especial;Dívida;2.28;% ao Ano;Banco Central do Brasil (BCB)
